city,city_lat,city_lng,population,tile_id,tile_lat,tile_lng,average_temperature,min_temperature,max_temperature,date
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,11.8173,4.0477,19.1375,2024-04-08
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,16.0705,9.0924,24.5959,2024-04-09
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,10.2329,8.4318,12.3329,2024-04-01
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,15.172,7.663,22.6531,2024-04-14
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,8.4689,4.5689,12.5712,2024-04-06
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,11.694,9.7041,16.7831,2024-04-17
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,19.7849,13.936,28.387,2024-04-15
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,16.3864,10.2748,22.8951,2024-04-16
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,5.9674,4.963,7.1435,2024-04-03
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,9.9115,6.6401,14.5284,2024-04-19
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,6.0979,3.573,9.1747,2024-04-04
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,13.5209,9.3635,21.0849,2024-04-20
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,14.1903,9.4347,17.474,2024-04-11
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,7.8168,7.1412,9.8765,2024-04-02
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,11.5201,9.8312,14.2314,2024-04-13
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,12.8761,9.4554,18.4529,2024-04-10
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,15.7969,14.1145,18.1601,2024-04-12
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,6.8276,3.8641,9.7865,2024-04-05
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,8.4921,7.5471,10.0134,2024-04-18
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,9.3947,4.5871,15.2072,2024-04-07
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,8.8835,4.7006,12.8272,2024-04-21
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,9.8863,3.6889,17.3566,2024-04-22
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,10.2163,5.1525,16.5245,2024-04-23
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,15.0964,8.7112,21.9648,2024-04-24
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,7.9628,5.5059,13.2923,2024-04-25
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,9.5301,4.123,15.6371,2024-04-26
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,10.6326,4.8895,16.2851,2024-04-27
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,20.6312,17.2136,30.3703,2024-04-29
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,16.7247,10.4469,24.8524,2024-04-28
New York,40.6943,-73.9249,18713220,144,40.6943529,-73.92525635,13.875,10.9852,18.4073,2024-04-30
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,13.0887,8.0415,17.7052,2024-04-01
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,10.6722,6.4919,14.5935,2024-04-04
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,15.2081,8.3223,20.4307,2024-04-02
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,14.9912,10.3,21.5093,2024-04-03
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,8.7098,5.7895,12.8827,2024-04-05
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,9.8432,4.5171,16.0035,2024-04-06
